"","study","yi","vyi"
"103","Shikata 2006",-0.998528830111127,29.5208693437385
"104","Shikata 2006",-2.56494935746154,299.679321760621
"105","Shikata 2006",1.18299968094566,1.24663262570283
"106","Shikata 2006",0,0.107522740490594
"107","Shikata 2006",0.715620036412004,1.27379245292392
"108","Shikata 2006",0.350860974073313,0.562162109581165
"109","Shikata 2006",0.595691844409232,2.63114222923215
"110","Shikata 2006",-0.463572738915445,2.03123246317733
"111","Franklin 2020",-0.0591888713903306,0.00542772173428282
"112","Franklin 2020",-0.184734103199339,0.020947825388121
"113","Franklin 2020",-0.0355066884569099,0.0138654447561311
"114","Franklin 2020",-0.110541874399824,0.00938897112246536
"115","Franklin 2020",-0.125163142954006,0.00604859560415042
"116","Franklin 2020",-0.0963311089384321,0.00322973790791221
